country,continent,lifeexp,pop,gdppercap
Afghanistan,Asia,39.146,13473708.5,803.48315
Albania,Europe,69.675003,2644572.5,3253.2383
Algeria,Africa,59.691002,18593278.5,4853.856
Angola,Africa,39.6945,6589529.5,3264.6289
Argentina,Americas,69.211502,28162601,9068.7852
Australia,Oceania,74.114998,14629150,18905.604
Austria,Europe,72.675003,7571521.5,20673.254
Bahrain,Asia,67.322502,337688.5,18779.801
Bangladesh,Asia,48.466,86751356,703.76379
Belgium,Europe,73.365005,9839051.5,20048.91
Benin,Africa,50.046997,3404935,1138.5022
Bolivia,Americas,51.941002,5360970,2971.0156
Bosnia and Herzegovina,Europe,70.275002,3952500,3194.3254
Botswana,Africa,52.927002,875909.5,3883
Brazil,Americas,62.412498,121638445,6805.2012
Bulgaria,Europe,70.854996,8188141.5,6450.0591
Burkina Faso,Africa,47.129501,6262085,830.96729
Burundi,Africa,45.030998,4207412.5,454.75934
Cambodia,Asia,48.186001,7361545.5,574.72382
Cameroon,Africa,49.605499,8605348,1738.8853
Canada,Americas,74.985001,24499150,22494.838
Central African Republic,Africa,44.098999,2322252,1013.3832
Chad,Africa,48.449997,4631689,1145.0835
Chile,Americas,68.808502,11043452.5,5300.3394
China,Asia,64.746185,971868000,851.82947
Colombia,Americas,65.245003,26429528,4106.6919
Comoros,Africa,51.935997,326691,1229.028
"Congo, Dem. Rep.",Africa,45.257,28563682.5,727.14502
"Congo, Rep.",Africa,53.938499,1655752,3371.6206
Costa Rica,Americas,72.099998,2266412,5446.3252
Cote d'Ivoire,Africa,48.1595,8242762.5,1757.5674
Croatia,Europe,70.550003,4366020.5,9519.8477
Cuba,Americas,73.182999,9663606,5891.2212
Czech Republic,Europe,70.834999,10195329.5,14548.591
Denmark,Europe,74.660004,5103114.5,21055.473
Djibouti,Africa,47.665501,267342.5,2872.2185
Dominican Republic,Americas,62.7575,5635574.5,2771.5405
Ecuador,Americas,62.826004,7822358,6127.4106
Egypt,Africa,54.662498,42232837,3144.6118
El Salvador,Americas,57.4515,4378729.5,4401.4136
Equatorial Guinea,Africa,42.842999,281543,943.19604
Eritrea,Africa,44.338501,2574969.5,517.72919
Ethiopia,Africa,44.712997,36364777.5,523.08606
Finland,Europe,73.535004,4782917.5,17069.291
France,Europe,74.360001,53799292,19293.266
Gabon,Africa,54.677002,730120.5,12193.061
Gambia,Africa,43.710999,661898.5,663.10498
Germany,Europe,73.150002,78248019.5,21272.227
Ghana,Africa,52.75,10969215.5,1024.4037
Greece,Europe,74.459999,9547479.5,14731.973
Guatemala,Americas,57.083,6049530,4342.9683
Guinea,Africa,41.8265,4468761.5,799.96045
Guinea-Bissau,Africa,38.396,785607.5,725.99805
Haiti,Americas,50.692001,5053476.5,1690.6724
Honduras,Americas,59.155502,3362341.5,3052.3955
"Hong Kong, China",Asia,74.524994,4924100,12873.336
Hungary,Europe,69.540001,10234053,11105.232
Iceland,Europe,76.550003,227910,21462.285
India,Asia,55.402,671000000,834.5304
Indonesia,Asia,54.4305,145034000,1449.7876
Iran,Asia,58.660999,39276715,7421.9941
Iraq,Asia,57.928501,13028117,7285.5361
Ireland,Europe,72.565002,3375950,11884.651
Israel,Asia,73.754997,3677169.5,14336.824
Italy,Europe,74.230003,56297440.5,15396.734
Jamaica,Americas,70.660004,2227561.5,6500.7168
Japan,Asia,76.244995,116163723.5,17997.242
Jordan,Asia,62.436501,2142341.5,3141.9727
Kenya,Africa,53.834499,16080928,1277.564
"Korea, Dem. Rep.",Asia,66.9105,16986419,1917.1487
"Korea, Rep.",Asia,65.944504,37881000,5140.082
Kuwait,Asia,70.326004,1279226,53286.234
Lebanon,Asia,66.541,3088114.5,7188.5957
Lesotho,Africa,49.129501,1331665.5,759.6814
Liberia,Africa,42.4175,1808295.5,615.07196
Libya,Africa,59.7985,3032928.5,10705.364
Madagascar,Africa,47.925003,8589321.5,1372.9452
Malawi,Africa,44.388,6070035.5,608.71289
Malaysia,Asia,66.627998,13643648.5,4374.1387
Mali,Africa,42.815002,6744952.5,651.09277
Mauritania,Africa,52.225502,1539412,1451.3768
Mauritius,Africa,65.820496,952532.5,3699.5103
Mexico,Americas,66.218498,67700440,8181.543
Mongolia,Asia,56.489998,1642016,1716.4568
Montenegro,Europe,73.523499,561310.5,6780.2666
Morocco,Africa,57.690002,19297835.5,2536.6201
Mozambique,Africa,42.288498,11857545.5,498.95328
Myanmar,Asia,57.057499,33104264.5,378
Namibia,Africa,53.386497,1038018,3799.1165
Nepal,Asia,48.171001,14864756,706.2428
Netherlands,Europe,75.645004,14081695,21304.26
New Zealand,Oceania,73.029999,3187775,16933.064
Nicaragua,Americas,58.384003,2767010.5,3284.8901
Niger,Africa,41.9445,6059637,785.38824
Nigeria,Africa,45.169998,67624274.5,1596.1301
Norway,Europe,75.630005,4078996,24804.992
Oman,Asia,60.047501,1152790.5,12401.567
Pakistan,Asia,55.100502,84807387,1309.6755
Panama,Americas,69.5765,1938043.5,5991.4961
Paraguay,Americas,66.613495,3175466.5,3516.0239
Peru,Americas,59.926498,17057614,5873.6836
Philippines,Asia,61.070999,50153868,2234.4795
Poland,Europe,70.915001,35424317.5,8229.0195
Portugal,Europe,71.589996,9761125,10963.164
Puerto Rico,Americas,73.595001,3179914.5,10050.758
Reunion,Africa,68.474503,504952.5,5157.439
Romania,Europe,69.410004,21967326.5,7615.9536
Rwanda,Africa,43.716499,5082318.5,633.77686
Sao Tome and Principe,Africa,59.4505,92694.5,1406.8092
Saudi Arabia,Asia,60.850998,9691588.5,20892.477
Senegal,Africa,50.629002,5704319,1540.7021
Serbia,Europe,70.231003,8859595.5,8658.3877
Sierra Leone,Africa,37.560501,3302709.5,1092.6681
Singapore,Asia,71.277496,2488584.5,13189.625
Slovak Republic,Europe,70.889999,4937923,10298.416
Slovenia,Europe,71.016502,1804085.5,14745.873
Somalia,Africa,41.473499,5091279,1156.2784
South Africa,Africa,53.530502,29134980.5,7595.0674
Spain,Europe,75.345001,37211155,13581.545
Sri Lanka,Asia,67.352997,14763493.5,1498.4277
Sudan,Africa,49.069,18736019.5,1729.1674
Swaziland,Africa,48.092499,600663,3667.2166
Sweden,Europe,75.93,8288454,19761.553
Switzerland,Europe,75.800003,6434763,27796.414
Syria,Asia,62.892498,8671498.5,3156.1294
Taiwan,Asia,71.375,17643293,6511.4375
Tanzania,Africa,49.058502,18486973.5,840.02039
Thailand,Asia,63.545502,46487722.5,2177.2222
Togo,Africa,54.179001,2476673.5,1050.9169
Trinidad and Tobago,Americas,68.566002,1047808.5,7379.7939
Tunisia,Africa,61.942497,6369579.5,3340.5549
Turkey,Europe,60.2715,44866412,4255.2393
Uganda,Africa,48.438,12198579,795.46509
United Kingdom,Europe,73.400002,56259352,17830.586
United States,Americas,74.014999,226213417.5,24541.096
Uruguay,Americas,70.143005,2913758.5,6712.2813
Venezuela,Americas,68.0065,14562164.5,10024.54
Vietnam,Asia,57.290001,53337843.5,742.79309
West Bank and Gaza,Asia,62.585499,1343483.5,3408.1204
"Yemen, Rep.",Asia,46.643997,9030804,1854.6309
Zambia,Africa,46.061501,5658478.5,1291.5842
Zimbabwe,Africa,53.176498,7139315.5,678.81317
